Transcript,0.5,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.97
IFM054_S12_Contig1101_frame_1_CIDRb1_domNum3_block8,6,6,6,6,7,7,7,7,7,7
SFC22_S9_L001_Contig3213_frame_3_CIDRb1_domNum2_block8,19,28,33,42,45,46,48,81,82,86
IFC66_S31_L002_Contig1769_frame_2_CIDRb4_domNum4_block8,37,55,68,96,118,141,159,174,179,184
SFC17_S7_L001_Contig2024_frame_-2_CIDRb1_domNum6_block8,7,7,7,7,8,8,8,8,8,55
SFC14_S17_L001_Contig1221_frame_-1_CIDRb1_domNum5_block8,30,44,56,79,91,100,114,123,126,130
IFD6_S1_Contig576_frame_-3_CIDRb4_domNum2_block8,3,3,45,61,65,69,73,76,77,81
SFC13_S23_L002_Contig2757_frm-1_orf9_CIDRb3_domNum7_block8,3,3,45,59,63,67,71,74,75,79
SFC-21_S22_L002_Contig2687_frm-2_orf0_CIDRb1_domNum1_block8,22,47,60,88,104,117,133,143,147,151
SFC17_S7_L001_Contig1746_frame_2_CIDRb1_domNum2_block8,7,7,7,7,73,77,82,86,87,91
IFM061_S15_Contig537_frm-3_orf3_CIDRb3_domNum5_block8,21,30,40,54,58,61,64,67,68,72
SFM-7_S13_L001_5198_soapGraphK61_frame_2_CIDRb1_domNum2_block8,17,26,31,40,79,84,89,96,97,101
SFU-3_S21_L002_Contig2011_frame_-3_CIDRb1_domNum1_block8,3,3,3,75,86,97,110,119,121,125
SFC19_S24_L002_Contig695_frame_1_CIDRb4_domNum1_block8,8,57,72,100,123,150,169,184,190,195
SFU-3_S21_L002_Contig370_frame_1_CIDRb5_domNum2_block8,2,2,38,48,51,78,203,222,231,240
IFM57_S30_L002_Contig604_frame_1_CIDRb1_domNum5_block8,7,7,7,15,17,91,101,110,112,116
IFM57_S30_L002_Contig1319_frame_-3_CIDRb5_domNum3_block8,2,20,22,30,33,33,35,37,37,38
SFM-7_S13_L001_Contig1890_frame_1_CIDRb1_domNum2_block8,17,26,31,40,79,84,89,96,97,101
IFC63_S16_L001_Contig2094_frame_2_CIDRb1_domNum3_block8,19,28,33,42,45,46,48,51,52,56
SFU2_S5_L001_Contig1894_frame_-1_CIDRb1_domNum4_block8,7,36,47,62,66,131,148,159,164,169
IFC66_S31_L002_Contig1841_frame_3_CIDRb1_domNum2_block8,3,3,8,8,9,9,9,9,9,28
IFM-049_S6_Contig38814_frame_-3_CIDRb1_domNum1_block8,10,46,59,87,103,116,132,142,146,150
IFM53_S14_L001_Contig2102_frame_-1_CIDRb1_domNum1_block8,7,36,47,62,89,98,112,121,124,128
SFC15-CM_S29_L002_Contig976_frame_3_CIDRb1_domNum3_block8,30,44,56,79,98,109,123,132,135,139
IFM21_S3_Contig1059_frm-2_orf46_CIDRb6_domNum3_block8,8,10,11,11,13,13,32,34,34,35
SFM-7_S13_L001_Contig2091_frame_2_CIDRb3_domNum2_block8,21,30,40,54,58,61,64,67,68,72
IFM24_S5_Contig538_frame_-2_CIDRb2_domNum3_block8,13,15,17,19,21,21,21,22,22,22
IFM047_S10_Contig1616_frm-1_orf5_CIDRb6_domNum2_block8,8,10,11,11,13,13,32,34,34,35
IFM12_S16_Contig342_frame_2_CIDRb1_domNum5_block8,30,49,62,90,106,122,139,150,155,160
IFM24_S5_Contig986_frame_-1_CIDRb1_domNum2_block8,12,14,16,18,20,20,20,21,21,21
SFC14_S17_L001_Contig2410_frame_-2_CIDRb1_domNum4_block8,7,22,25,33,36,36,68,71,72,76
IFM061_S15_Contig1009_frame_1_CIDRb1_domNum4_block8,18,27,32,41,44,45,47,50,51,54
IFM57_S30_L002_Contig426_frame_1_CIDRb1_domNum2_block8,7,36,47,62,66,70,201,217,226,234
IFM24_S5_Contig920_frame_2_CIDRb3_domNum2_block8,21,30,40,54,58,61,64,67,68,72
IFC66_S31_L002_Contig1318_frame_1_CIDRb1_domNum1_block8,13,24,29,38,41,41,43,45,46,48
SFC15-CM_S29_L002_Contig1879_frame_-3_CIDRb5_domNum2_block8,2,9,13,67,75,80,128,138,141,145
IFC66_S31_L002_Contig1829_frame_3_CIDRb1_domNum1_block8,7,7,7,22,128,159,179,194,200,205
IFM53_S14_L001_Contig2724_frame_-3_CIDRb1_domNum4_block8,18,27,32,41,44,45,47,50,51,54
SFM-7_S13_L001_Contig154_frame_2_CIDRb5_domNum4_block8,13,24,29,86,102,115,130,140,144,148
IFM047_S10_Contig918_frm2_orf0_CIDRb2_domNum1_block8,3,3,45,61,65,94,105,114,116,120
SFC13_S23_L002_Contig1757_frame_-3_CIDRb1_domNum1_block8,7,8,9,9,23,23,23,31,31,32
IFM21_S3_Contig1054_frame_1_CIDRb1_domNum4_block8,19,28,33,42,45,46,48,51,52,56
IFC66_S31_L002_Contig1813_frame_1_CIDRb1_domNum1_block8,7,8,41,52,56,58,61,64,65,69
SFM-3_S12_L001_Contig2007_frame_-3_CIDRb1_domNum7_block8,23,33,39,49,52,54,56,59,60,64
IFM23_S4_Contig443_frame_3_CIDRb6_domNum1_block8,4,4,4,43,74,96,108,117,119,210
IFM-049_S6_Contig32558_frame_3_CIDRb1_domNum2_block8,13,24,70,98,120,145,164,213,221,229
IFM12_S16_Contig389_frame_3_CIDRb4_domNum1_block8,3,3,45,61,65,69,73,76,77,81
IFM061_S15_Contig912_frame_-1_CIDRb2_domNum3_block8,13,15,17,19,21,21,21,22,22,22
SFM-6_S3_L001_Contig5_frame_3_CIDRb1_domNum1_block8,12,16,18,36,39,39,41,43,44,46
SFC16_S6_L001_Contig1066_frame_-3_CIDRb4_domNum6_block8,31,45,58,85,101,113,127,137,140,144
IFM21_S3_Contig946_frame_3_CIDRb1_domNum2_block8,24,34,42,56,60,64,67,70,71,75
IFM24_S5_Contig823_frm-3_orf43_CIDRb5_domNum3_block8,2,9,10,10,12,12,12,12,12,12
SFC15-CM_S29_L002_Contig1476_frm-2_orf6_CIDRb1_domNum5_block8,57,78,96,128,157,197,222,242,252,261
IFM57_S30_L002_Contig1315_frame_2_CIDRb3_domNum1_block8,5,5,5,5,6,6,6,6,6,6
IFM058_S13_Contig882_frame_1_CIDRb6_domNum1_block8,8,10,11,11,13,13,32,34,34,35
SFC15-CM_S29_L002_Contig1969_frame_2_CIDRb1_domNum2_block8,12,14,16,18,20,20,20,21,21,21
SFC16_S6_L001_Contig1791_frame_-1_CIDRb1_domNum3_block8,3,3,3,3,3,3,3,3,3,3
SFM-1_S11_L001_Contig1540_frame_2_CIDRb1_domNum2_block8,12,16,18,36,111,132,149,160,165,170
IFD6_S1_Contig977_frm-3_orf31_CIDRb1_domNum3_block8,10,12,27,34,37,44,46,48,49,52
SFC15-CM_S29_L002_Contig1744_frame_-1_CIDRb1_domNum1_block8,3,3,8,8,9,9,9,9,9,9
IFM53_S14_L001_Contig1680_frame_-3_CIDRb1_domNum3_block8,30,44,56,79,96,106,120,129,132,136
SFC22_S9_L001_Contig2833_frame_1_CIDRb4_domNum3_block8,5,5,5,25,28,28,29,30,30,31
SXC2_S4_L001_4698_soapGraphK61_frame_3_CIDRb1_domNum2_block8,7,8,9,9,10,10,97,105,107,111
SFM-7_S13_L001_Contig1988_frame_1_CIDRb1_domNum2_block8,7,7,53,70,80,85,90,97,98,102
SFU2_S5_L001_Contig1466_frame_3_CIDRb1_domNum5_block8,7,8,41,73,84,89,98,107,109,113
IFM050_S11_Contig2263_frame_1_CIDRb5_domNum3_block8,2,2,2,2,11,11,93,101,103,107
IFM047_S10_Contig1657_frame_2_CIDRb6_domNum1_block8,7,7,7,37,40,40,42,44,45,47
SFC17_S7_L001_Contig1933_frame_-2_CIDRb1_domNum1_block8,7,7,7,15,17,176,197,212,220,228
IFM12_S16_Contig842_frame_1_CIDRb5_domNum2_block8,2,9,10,10,12,12,12,134,137,141
SFC16_S6_L001_Contig1795_frame_-3_CIDRb1_domNum4_block8,7,7,7,7,73,77,82,86,87,91
IFM047_S10_Contig1673_frame_-1_CIDRb1_domNum3_block8,13,24,29,38,41,41,43,45,46,48
IFM53_S14_L001_Contig2124_frm-2_orf27_CIDRb1_domNum3_block8,22,31,36,74,85,90,131,141,145,149
IFC66_S31_L002_Contig1294_frame_3_CIDRb5_domNum2_block8,11,13,15,50,53,55,58,61,62,66
IFM57_S30_L002_4446_soapGraphK61_frame_1_CIDRb1_domNum4_block8,7,7,69,97,119,143,161,176,182,187
SFM-8_S8_L001_Contig3146_frame_-3_CIDRb5_domNum2_block8,3,3,8,83,97,107,121,130,133,137
IFM53_S14_L001_Contig2723_frame_2_CIDRb1_domNum3_block8,6,6,6,6,7,7,7,7,7,7
SFC17_S7_L001_Contig2010_frame_3_CIDRb1_domNum2_block8,13,24,29,38,41,41,43,45,46,48
SXC2_S4_L001_Contig1854_frame_-3_CIDRb1_domNum3_block8,27,39,50,66,71,75,80,84,85,89
SFM-3_S12_L001_Contig1087_frm-1_orf4_CIDRb2_domNum3_block8,13,15,17,19,21,21,21,22,22,22
SFM-10_S1_L001_Contig2264_frame_-3_CIDRb6_domNum1_block8,2,2,38,48,51,78,83,89,90,94
IFM12_S16_Contig850_frame_-3_CIDRb1_domNum2_block8,3,3,3,3,3,3,57,219,228,236
SFM-3_S12_L001_Contig1979_frame_1_CIDRb1_domNum1_block8,33,51,64,92,109,129,146,218,227,235
SFC19_S24_L002_Contig719_frame_3_CIDRb3_domNum7_block8,3,3,45,59,63,67,71,74,75,79
IFM21_S3_Contig565_frm-1_orf0_CIDRb1_domNum1_block8,12,14,16,18,20,20,20,21,21,21
IFM050_S11_Contig3777_frame_2_CIDRb1_domNum2_block8,7,7,69,97,119,143,161,176,182,187
SFM-6_S3_L001_Contig2011_frame_-2_CIDRb1_domNum1_block8,3,17,19,21,83,88,162,177,183,188
SXC2_S4_L001_Contig1900_frame_1_CIDRb1_domNum2_block8,42,61,78,106,130,161,181,196,202,224
IFM-049_S6_Contig11101_frm3_orf14_CIDRb1_domNum4_block8,7,7,7,15,17,17,17,17,17,40
IFM058_S13_Contig1034_frame_2_CIDRb1_domNum3_block8,28,40,51,68,76,81,86,92,93,97
SFM-5_S2_L001_Contig652_frame_-1_CIDRb1_domNum2_block8,53,74,92,124,153,193,218,238,248,257
IFM050_S11_Contig2900_frame_1_CIDRb1_domNum2_block8,3,3,3,3,55,153,173,188,194,199
SFM-8_S8_L001_35599_soapGraphK31_frame_2_CIDRb6_domNum1_block8,2,9,13,13,15,15,15,15,15,15
IFC63_S16_L001_4982_soapGraphK61_frame_2_CIDRb1_domNum4_block8,7,36,47,62,66,131,148,159,164,169
SFU2_S5_L001_Contig1722_frame_-2_CIDRb3_domNum2_block8,21,30,40,54,58,61,64,67,68,72
SFM-7_S13_L001_Contig22_frame_3_CIDRb3_domNum2_block8,12,16,18,36,138,173,194,209,216,223
IFM12_S16_Contig659_frame_2_CIDRb1_domNum1_block8,11,43,55,76,87,120,136,146,150,154
SFC22_S9_L001_Contig2827_frame_2_CIDRb4_domNum2_block8,29,41,52,69,78,83,88,95,96,100
SXC2_S4_L001_Contig1305_frame_-2_CIDRb1_domNum6_block8,3,17,19,21,24,24,24,25,25,25
IFM26_S8_Contig648_frame_-2_CIDRb4_domNum2_block8,3,18,20,23,26,26,26,27,27,27
IFM061_S15_Contig893_frame_2_CIDRb1_domNum1_block8,3,3,3,72,82,87,95,103,105,109
SFM-10_S1_L001_Contig1858_frame_2_CIDRb4_domNum1_block8,31,45,58,85,101,113,127,137,140,144
IFM058_S13_Contig680_frame_3_CIDRb1_domNum3_block8,19,28,33,42,45,46,48,51,52,56
SFC13_S23_L002_Contig2731_frame_3_CIDRb1_domNum1_block8,7,36,47,62,66,70,74,77,78,82
SFU2_S5_L001_4712_soapGraphK61_frame_3_CIDRb3_domNum2_block8,21,30,40,54,58,61,64,67,68,72
IFC66_S31_L002_Contig1814_frame_-1_CIDRb1_domNum1_block8,7,8,26,32,35,35,37,39,152,157
SFM-6_S3_L001_Contig2024_frame_-2_CIDRb1_domNum2_block8,11,13,15,16,18,18,18,19,19,19
SFC17_S7_L001_Contig1016_frame_-2_CIDRb4_domNum2_block8,37,55,68,96,118,141,159,174,179,184
SFM-6_S3_L001_Contig2013_frame_2_CIDRb1_domNum2_block8,3,17,19,21,24,24,182,197,203,208
IFM27_S9_Contig26_frame_-1_CIDRb6_domNum2_block8,2,9,13,13,15,15,15,15,15,15
SFC22_S9_L001_8592_soapGraphK61_frame_-3_CIDRb6_domNum2_block8,2,2,57,84,100,112,126,136,139,143
IFM050_S11_8058_soapGraphK61_frame_3_CIDRb1_domNum2_block8,7,7,7,15,17,17,17,18,18,18
IFM061_S15_Contig999_frame_2_CIDRb1_domNum2_block8,7,7,7,22,25,25,25,26,26,26
SFM-6_S3_L001_Contig2005_frame_-3_CIDRb1_domNum1_block8,50,71,89,121,150,190,215,235,245,254
SFU-3_S21_L002_Contig2033_frame_-3_CIDRb1_domNum4_block8,0,0,0,0,0,0,0,0,0,0
IFC66_S31_L002_Contig1822_frame_-3_CIDRb1_domNum2_block8,47,68,86,118,147,187,212,232,242,251
SFC13_S23_L002_Contig2755_frame_-2_CIDRb1_domNum4_block8,12,16,18,36,77,82,87,94,95,99
IFM050_S11_Contig3749_frame_1_CIDRb1_domNum1_block8,7,7,7,7,73,77,82,86,87,91
SXC2_S4_L001_4690_soapGraphK61_frame_3_CIDRb1_domNum2_block8,28,40,51,68,76,81,86,92,93,97
IFD8_S2_Contig616_frame_-2_CIDRb1_domNum1_block8,1,1,1,81,93,102,116,125,128,132
SFM-10_S1_L001_Contig2456_frame_-3_CIDRb5_domNum6_block8,2,9,10,10,12,12,12,49,50,53
SFC15-CM_S29_L002_Contig1084_frame_-1_CIDRb4_domNum1_block8,3,18,23,27,30,63,66,69,70,74
SFC-21_S22_L002_Contig2481_frame_2_CIDRb6_domNum1_block8,4,4,4,109,136,171,192,207,213,219
SFU-3_S21_L002_Contig1766_frame_-1_CIDRb1_domNum3_block8,10,12,14,17,19,19,19,20,20,20
IFC63_S16_L001_Contig796_frame_1_CIDRb2_domNum3_block8,52,73,91,123,152,192,217,237,247,256
IFM57_S30_L002_Contig1295_frame_2_CIDRb1_domNum1_block8,10,12,14,17,19,19,19,99,101,105
SFM-10_S1_L001_Contig2563_frame_1_CIDRb1_domNum5_block8,12,14,16,18,20,20,20,21,21,21
IFC63_S16_L001_Contig2096_frame_-1_CIDRb2_domNum1_block8,13,15,17,19,21,21,21,22,22,22
SFC15-CM_S29_L002_Contig1948_frame_-3_CIDRb1_domNum1_block8,7,22,25,33,36,36,38,40,40,42
IFM054_S12_Contig1090_frame_-2_CIDRb6_domNum1_block8,7,7,7,37,40,40,42,44,45,47
IFM21_S3_Contig1058_frame_-2_CIDRb6_domNum2_block8,7,7,7,37,40,40,42,44,45,47
IFM56_S15_Contig1699_frame_3_CIDRb1_domNum4_block8,2,20,22,26,29,29,107,116,118,122
SFC15-CM_S29_L002_Contig1965_frame_2_CIDRb3_domNum2_block8,4,4,4,28,31,31,94,102,104,108
IFM23_S4_Contig639_frame_1_CIDRb1_domNum1_block8,7,8,41,55,59,62,65,68,69,73
